model,pareto,rawlsian,gov-1k,gov-10k,gov-25k,gov-50k,bible-1k,bible-10k,bible-25k
linear,True,False,8.277530420046503,14.163111180808366,15.566371951518008,17.65922525803189,7.848048117320796,12.444460081212425,14.283957741464093
poly2,True,False,8.258762044126193,14.209887179848582,15.616202604964869,17.719609672010407,7.847810975441314,12.472395505684776,14.316392398834456
poly3,True,False,8.245614308800272,14.231752746298728,15.628373469781929,17.719537284110956,7.847612400051993,12.482373469077968,14.32505824106752
exp,False,False,8.315300593720298,14.51328588985652,15.940003635658522,17.861574916496952,7.887070616998463,12.58296860747336,14.457585733702617
log,True,False,8.255740484566278,14.207291173307215,15.627719924921584,17.742933181169207,7.875737470154124,12.496476641975452,14.343749139080932
power,False,False,8.295024788044667,14.230051633003049,15.625333254947591,17.666654969033104,7.870927548897439,12.477998131601554,14.30976899837016
mult,False,False,8.398358153465562,14.613983246870257,16.041974885118496,17.86151681134484,7.907491866308585,12.638014110837686,14.517794833666963
hmult,False,False,8.40169356674337,14.60735772517198,16.037578972087665,17.86676098261964,7.923451907779215,12.67672642087245,14.560982730212924
am,True,True,8.330679281839247,14.098801622991012,15.492757141501576,17.410083554884714,7.850101175264408,12.426108585188592,14.244779815400063
gm,True,False,8.330377843205996,14.100128855991905,15.4942674794561,17.413056192524802,7.850030336366663,12.426083938892289,14.24502452034809
hm,True,False,8.331015352929898,14.099054746160933,15.493283122732224,17.41569293708844,7.849860785160212,12.42667683756784,14.245487001927415
