model,pareto,rawlsian,all
linear,False,False,4.876574095587376
poly2,False,False,4.660356962084067
poly3,False,False,4.450872932520613
exp,False,False,4.864112391974694
log,False,False,4.95018323928245
power,False,False,6.626762564737064
hmult,False,False,6.880757251599003
mult,False,False,6.101120554214193
am,False,False,13.231354189182692
gm,False,False,13.358915699151604
hm,False,False,13.317628330800025
diff,False,False,4.676414420559018
linear+poly2,False,False,4.698338340686744
linear+poly3,False,False,4.588774812616069
linear+exp,False,False,13.032333557982277
linear+log,False,False,4.974269401582947
linear+power,False,False,6.7893392736807865
linear+hmult,False,False,6.789338946199844
poly2+linear,False,False,4.83863554941023
poly2+poly3,False,False,4.513117669333176
poly2+exp,False,False,13.002602399941988
poly2+log,False,False,4.956085791749912
poly2+power,False,False,6.801561288047404
poly2+hmult,False,False,6.801560304084843
poly3+linear,False,False,4.79013221525277
poly3+poly2,False,False,4.617138694152386
poly3+exp,False,False,12.963970688994577
poly3+log,False,False,4.927438932719412
poly3+power,False,False,6.804078002289567
poly3+hmult,False,False,6.8001370973470205
exp+linear,False,False,4.894973167352001
exp+poly2,False,False,4.713960029615203
exp+poly3,False,False,4.624800304722335
exp+log,False,False,4.942947169784732
exp+power,False,False,6.849397881295917
exp+hmult,False,False,6.849397843324931
log+linear,False,False,4.810121248940357
log+poly2,False,False,4.636213713136444
log+poly3,True,True,4.449828598743617
log+exp,False,False,12.948075487351414
log+power,False,False,6.811214100905991
log+hmult,False,False,6.811214100905991
power+linear,False,False,4.802654157502739
power+poly2,False,False,4.62953269754484
power+poly3,False,False,4.5652477299184895
power+exp,False,False,12.944108502601807
power+log,False,False,7.251055824631413
power+hmult,False,False,6.813503947133631
hmult+linear,False,False,5.510267228727898
hmult+poly2,False,False,5.322837084452026
hmult+poly3,False,False,5.2674800770643975
hmult+exp,False,False,13.431114510049454
hmult+log,False,False,5.498265124888739
hmult+power,False,False,7.077607009600063
